Set Pressure (psig),Capactiy SCFM,Source
60,15,"Kunkle Model 30, Page 2"
100,23,"Kunkle Model 30, Page 2"
250,54,"Kunkle Model 30, Page 2"
300,64,"Kunkle Model 30, Page 2"
400,85,"Kunkle Model 30, Page 2"
500,105,"Kunkle Model 30, Page 2"
750,156,"Kunkle Model 30, Page 2"
1000,207,"Kunkle Model 30, Page 2"
1250,258,"Kunkle Model 30, Page 2"
1500,310,"Kunkle Model 30, Page 2"
1750,361,"Kunkle Model 30, Page 2"
2000,412,"Kunkle Model 30, Page 2"
2250,463,"Kunkle Model 30, Page 2"
2500,514,"Kunkle Model 30, Page 2"
3000,617,"Kunkle Model 30, Page 2"
3500,719,"Kunkle Model 30, Page 2"
4000,821,"Kunkle Model 30, Page 2"